Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Slaughtering of pigs; Pigs, Carcasses, industrial production; French production mix, at plant;1 kg of carcasses (POUi)",0.00077,kg CO2 eq,122,5,4,raw materials/ingredients,France,Slaughtering of pigs; Pigs
"transport, freight, lorry 16-32 metric ton, EURO5",0.00069,kg CO2 eq,123,6,122,raw materials/ingredients,Europe,transport
"Pork fat, raw,at plant",0.01183,kg CO2 eq,124,3,2,raw materials/ingredients,France,Pork fat
"Pork chop case ready; Pigs, Pork shop, industrial production; French production mix, at plant; 1 kg of pork rind and pork fat   (PDi)",0.01183,kg CO2 eq,125,4,124,raw materials/ingredients,France,Pork chop case ready; Pigs
"Live pork storage, at plant",0.0113,kg CO2 eq,126,5,125,raw materials/ingredients,France,Live pork storage
"Pig, conventional, national average, at farm gate",0.0113,kg CO2 eq,127,6,126,raw materials/ingredients,France,Pig
"Pig,French average,finishing feed,conv prod, at farm gate/kg",0.00212,kg CO2 eq,128,7,127,raw materials/ingredients,France,Pig
"Pig,French average,finishing feed,purchased part,conv prod, at farm gate/kg",0.00151,kg CO2 eq,129,8,128,raw materials/ingredients,France,Pig
Soft wheat grain stored and transported,0.00058,kg CO2 eq,130,9,129,raw materials/ingredients,France,Soft wheat grain stored and transported
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00056,kg CO2 eq,131,10,130,raw materials/ingredients,France,Soft wheat grain
"Pig,French average,finishing feed,on-farm part,conv prod, at farm gate/kg",0.00061,kg CO2 eq,132,8,128,raw materials/ingredients,France,Pig
"Pig,French average,growing feed,conv prod, at farm gate/kg",0.00131,kg CO2 eq,133,7,127,raw materials/ingredients,France,Pig
"Pig,French average,growing feed,purchased part,conv prod, at farm gate/kg",0.00092,kg CO2 eq,134,8,133,raw materials/ingredients,France,Pig
"Weaned piglet,French average,WP 2nd phase feed,conv prod, at farm gate/kg",0.00082,kg CO2 eq,135,7,127,raw materials/ingredients,France,Weaned piglet
"electricity, medium voltage",0.00429,kg CO2 eq,136,3,2,raw materials/ingredients,France,electricity
"Packaging; Dry sausages, Dry sausages, industrial production; French production, at plant;1 kg of dry sausages producted (POUi)",0.00365,kg CO2 eq,137,3,2,raw materials/ingredients,France,Packaging; Dry sausages
solid unbleached board,0.00256,kg CO2 eq,138,4,137,raw materials/ingredients,Global,solid unbleached board
"Filing; Sausages meat, Sausages , industrial production; French production, at plant;1 kg of sausages after filing (POUi)",0.00288,kg CO2 eq,139,3,2,raw materials/ingredients,France,Filing; Sausages meat
"Knife, steel, at plant/kg",0.00134,kg CO2 eq,140,4,139,raw materials/ingredients,Europe,Knife
"aluminium, primary, ingot",0.00111,kg CO2 eq,141,5,140,raw materials/ingredients,Rest-of-World,aluminium
