Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Pork ham, raw, at plant",0.21397,kg CO2 eq,75,3,74,raw materials/ingredients,France,Pork ham
"Pork chop case ready; Pigs, Pork shop, industrial production; French production mix, at plant; 1 kg of pork meat  (PDi)",0.21397,kg CO2 eq,76,4,75,raw materials/ingredients,France,Pork chop case ready; Pigs
"Live pork storage, at plant",0.20445,kg CO2 eq,77,5,76,raw materials/ingredients,France,Live pork storage
"Pig, conventional, national average, at farm gate",0.20435,kg CO2 eq,78,6,77,raw materials/ingredients,France,Pig
"Pig,French average,finishing feed,conv prod, at farm gate/kg",0.03834,kg CO2 eq,79,7,78,raw materials/ingredients,France,Pig
"Pig,French average,finishing feed,purchased part,conv prod, at farm gate/kg",0.02725,kg CO2 eq,80,8,79,raw materials/ingredients,France,Pig
Soft wheat grain stored and transported,0.01041,kg CO2 eq,81,9,80,raw materials/ingredients,France,Soft wheat grain stored and transported
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.0101,kg CO2 eq,82,10,81,raw materials/ingredients,France,Soft wheat grain
"Average mineral fertilizer, as N, at regional storehouse/kg",0.00122,kg CO2 eq,83,11,82,raw materials/ingredients,France,Average mineral fertilizer
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00423,kg CO2 eq,84,9,80,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.00393,kg CO2 eq,85,10,84,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00371,kg CO2 eq,86,11,85,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.0033,kg CO2 eq,87,12,86,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00305,kg CO2 eq,88,13,87,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00244,kg CO2 eq,89,14,88,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00188,kg CO2 eq,90,15,89,raw materials/ingredients,Brazil,clear-cutting
Feed barley grain stored and transported,0.00335,kg CO2 eq,91,9,80,raw materials/ingredients,France,Feed barley grain stored and transported
"Feed barley grain, conventional, national average",0.00324,kg CO2 eq,92,10,91,raw materials/ingredients,France,Feed barley grain
"Winter forage barley, conventional, animal feed, at farm gate",0.00206,kg CO2 eq,93,11,92,raw materials/ingredients,France,Winter forage barley
"Maize grain, conventional, 28% moisture, national average, animal feed, at farm | Maize grain, conventional, 28% moisture, national average, animal feed, at farm gate",0.00307,kg CO2 eq,94,9,80,raw materials/ingredients,France,Maize grain
"Rapeseed oil, crude, conventional, animal feed, at plant",0.00257,kg CO2 eq,95,9,80,raw materials/ingredients,France,Rapeseed oil
"Rapeseed grain, conventional, dried, stored and transported, processing",0.00231,kg CO2 eq,96,10,95,raw materials/ingredients,France,Rapeseed grain
"Rapeseed, conventional, 9% moisture, national average, animal feed, at farm gate",0.00228,kg CO2 eq,97,11,96,raw materials/ingredients,France,Rapeseed
"transport, freight, lorry >32 metric ton, EURO3",0.00096,kg CO2 eq,98,9,80,raw materials/ingredients,Europe,transport
"L-Lysine HCl, animal feed, at retailer gate",0.00094,kg CO2 eq,99,9,80,raw materials/ingredients,France,L-Lysine HCl
"L-Lysine HCl, processing",0.00094,kg CO2 eq,100,10,99,raw materials/ingredients,France,L-Lysine HCl
"Pig,French average,finishing feed,on-farm part,conv prod, at farm gate/kg",0.01109,kg CO2 eq,101,8,79,raw materials/ingredients,France,Pig
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00433,kg CO2 eq,102,9,101,raw materials/ingredients,France,Soft wheat grain
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00181,kg CO2 eq,103,9,101,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.00168,kg CO2 eq,104,10,103,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00159,kg CO2 eq,105,11,104,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00141,kg CO2 eq,106,12,105,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00131,kg CO2 eq,107,13,106,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00104,kg CO2 eq,108,14,107,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00081,kg CO2 eq,109,15,108,raw materials/ingredients,Brazil,clear-cutting
"Feed barley grain, conventional, national average",0.00139,kg CO2 eq,110,9,101,raw materials/ingredients,France,Feed barley grain
"Winter forage barley, conventional, animal feed, at farm gate",0.00088,kg CO2 eq,111,10,110,raw materials/ingredients,France,Winter forage barley
"Maize grain, conventional, 28% moisture, national average, animal feed, at farm | Maize grain, conventional, 28% moisture, national average, animal feed, at farm gate",0.00132,kg CO2 eq,112,9,101,raw materials/ingredients,France,Maize grain
"Rapeseed oil, crude, conventional, animal feed, at plant",0.0011,kg CO2 eq,113,9,101,raw materials/ingredients,France,Rapeseed oil
"Rapeseed grain, conventional, dried, stored and transported, processing",0.00099,kg CO2 eq,114,10,113,raw materials/ingredients,France,Rapeseed grain
"Rapeseed, conventional, 9% moisture, national average, animal feed, at farm gate",0.00098,kg CO2 eq,115,11,114,raw materials/ingredients,France,Rapeseed
"Pig,French average,growing feed,conv prod, at farm gate/kg",0.02371,kg CO2 eq,116,7,78,raw materials/ingredients,France,Pig
"Pig,French average,growing feed,purchased part,conv prod, at farm gate/kg",0.01667,kg CO2 eq,117,8,116,raw materials/ingredients,France,Pig
Soft wheat grain stored and transported,0.00734,kg CO2 eq,118,9,117,raw materials/ingredients,France,Soft wheat grain stored and transported
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00712,kg CO2 eq,119,10,118,raw materials/ingredients,France,Soft wheat grain
"Average mineral fertilizer, as N, at regional storehouse/kg",0.00086,kg CO2 eq,120,11,119,raw materials/ingredients,France,Average mineral fertilizer
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00391,kg CO2 eq,121,9,117,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.00363,kg CO2 eq,122,10,121,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00343,kg CO2 eq,123,11,122,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00304,kg CO2 eq,124,12,123,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00282,kg CO2 eq,125,13,124,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00225,kg CO2 eq,126,14,125,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00174,kg CO2 eq,127,15,126,raw materials/ingredients,Brazil,clear-cutting
"Maize grain, conventional, 28% moisture, national average, animal feed, at farm | Maize grain, conventional, 28% moisture, national average, animal feed, at farm gate",0.00165,kg CO2 eq,128,9,117,raw materials/ingredients,France,Maize grain
"Rapeseed oil, crude, conventional, animal feed, at plant",0.00163,kg CO2 eq,129,9,117,raw materials/ingredients,France,Rapeseed oil
"Rapeseed grain, conventional, dried, stored and transported, processing",0.00147,kg CO2 eq,130,10,129,raw materials/ingredients,France,Rapeseed grain
"Rapeseed, conventional, 9% moisture, national average, animal feed, at farm gate",0.00145,kg CO2 eq,131,11,130,raw materials/ingredients,France,Rapeseed
"Pig,French average,growing feed,on-farm part,conv prod, at farm gate/FR/kg/U",0.00705,kg CO2 eq,132,8,116,raw materials/ingredients,France,Pig
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00305,kg CO2 eq,133,9,132,raw materials/ingredients,France,Soft wheat grain
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00168,kg CO2 eq,134,9,132,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.00155,kg CO2 eq,135,10,134,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00147,kg CO2 eq,136,11,135,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.0013,kg CO2 eq,137,12,136,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00121,kg CO2 eq,138,13,137,raw materials/ingredients,Brazil,Soybean
